pattern,count,before_round,after_round,round_delta,cumulative_delta_from_pattern_start
sequ,10000,64176,64176,0,0
sequ,20000,64176,743249,679073,679073
sequ,30000,743249,1422322,679073,1358146
sequ,40000,1422322,2101395,679073,2037219
sequ,50000,2101395,2780461,679066,2716285
sequ,60000,2780461,3459534,679073,3395358
sequ,70000,3459534,1219695,-2239839,1155519
sequ,80000,1219695,1898768,679073,1834592
sequ,90000,1898768,2577841,679073,2513665
sequ,100000,2577841,3256907,679066,3192731
sequ,110000,3256907,3935980,679073,3871804
sequ,120000,3935980,1744589,-2191391,1680413
sequ,130000,1744589,2423662,679073,2359486
sequ,140000,2423662,3102735,679073,3038559
sequ,150000,3102735,3781801,679066,3717625
sequ,160000,3781801,4460874,679073,4396698
sequ,170000,4460874,2268380,-2192494,2204204
sequ,180000,2268380,2947453,679073,2883277
sequ,190000,2947453,3626526,679073,3562350
sequ,200000,3626526,4305592,679066,4241416
sequ,210000,4305592,4984665,679073,4920489
sequ,220000,4984665,2782706,-2201959,2718530
sequ,230000,2782706,3461779,679073,3397603
sequ,240000,3461779,4140852,679073,4076676
sequ,250000,4140852,4819918,679066,4755742
sequ,260000,4819918,5498991,679073,5434815
sequ,270000,5498991,3306286,-2192705,3242110
sequ,280000,3306286,3985359,679073,3921183
sequ,290000,3985359,4664432,679073,4600256
sequ,300000,4664432,5343498,679066,5279322
sequ,310000,5343498,6022571,679073,5958395
sequ,320000,6022571,3830953,-2191618,3766777
sequ,330000,3830953,4510026,679073,4445850
sequ,340000,4510026,5189099,679073,5124923
sequ,350000,5189099,5868165,679066,5803989
sequ,360000,5868165,6547238,679073,6483062
sequ,370000,6547238,4356645,-2190593,4292469
sequ,380000,4356645,5035718,679073,4971542
sequ,390000,5035718,5714791,679073,5650615
sequ,400000,5714791,6393857,679066,6329681
sequ,410000,6393857,7072930,679073,7008754
sequ,420000,7072930,4881737,-2191193,4817561
sequ,430000,4881737,5560810,679073,5496634
sequ,440000,5560810,6239883,679073,6175707
sequ,450000,6239883,6918949,679066,6854773
sequ,460000,6918949,7598022,679073,7533846
sequ,470000,7598022,5405074,-2192948,5340898
sequ,480000,5405074,6084147,679073,6019971
sequ,490000,6084147,6763220,679073,6699044
sequ,500000,6763220,7442286,679066,7378110
sequ,510000,7442286,8121359,679073,8057183
sequ,520000,8121359,5929641,-2191718,5865465
sequ,530000,5929641,6608714,679073,6544538
sequ,540000,6608714,7287787,679073,7223611
sequ,550000,7287787,7966853,679066,7902677
sequ,560000,7966853,8645926,679073,8581750
sequ,570000,8645926,6454385,-2191541,6390209
sequ,580000,6454385,7133458,679073,7069282
sequ,590000,7133458,7812531,679073,7748355
sequ,600000,7812531,8491597,679066,8427421
sequ,610000,8491597,9170670,679073,9106494
sequ,620000,9170670,6978863,-2191807,6914687
sequ,630000,6978863,7657936,679073,7593760
sequ,640000,7657936,8337009,679073,8272833
sequ,650000,8337009,9016075,679066,8951899
sequ,660000,9016075,9695148,679073,9630972
sequ,670000,9695148,7502402,-2192746,7438226
sequ,680000,7502402,8181475,679073,8117299
sequ,690000,8181475,8860548,679073,8796372
sequ,700000,8860548,9539614,679066,9475438
sequ,710000,9539614,10218687,679073,10154511
sequ,720000,10218687,8027250,-2191437,7963074
sequ,730000,8027250,8706323,679073,8642147
sequ,740000,8706323,9385396,679073,9321220
sequ,750000,9385396,10064462,679066,10000286
sequ,760000,10064462,10743535,679073,10679359
sequ,770000,10743535,8555024,-2188511,8490848
sequ,780000,8555024,9234097,679073,9169921
sequ,790000,9234097,9913170,679073,9848994
sequ,800000,9913170,10592236,679066,10528060
sequ,810000,10592236,11271309,679073,11207133
sequ,820000,11271309,9076032,-2195277,9011856
sequ,830000,9076032,9755105,679073,9690929
sequ,840000,9755105,10434178,679073,10370002
sequ,850000,10434178,11113244,679066,11049068
sequ,860000,11113244,11792317,679073,11728141
sequ,870000,11792317,9599510,-2192807,9535334
sequ,880000,9599510,10278583,679073,10214407
sequ,890000,10278583,10957656,679073,10893480
sequ,900000,10957656,11636722,679066,11572546
sequ,910000,11636722,12315795,679073,12251619
sequ,920000,12315795,10127692,-2188103,10063516
sequ,930000,10127692,10806765,679073,10742589
sequ,940000,10806765,11485838,679073,11421662
sequ,950000,11485838,12164904,679066,12100728
sequ,960000,12164904,12843977,679073,12779801
sequ,970000,12843977,10652083,-2191894,10587907
sequ,980000,10652083,11331156,679073,11266980
sequ,990000,11331156,12010229,679073,11946053
sequ,1000000,12010229,12689295,679066,12625119
